cas_number,alias_name,normalized_alias,source_type,source_ref
10025-82-8,Indium trichloride,indiumtrichloride,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10025-82-8,Trichloroindium,trichloroindium,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10025-82-8,Trichloroindium,trichloroindium,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10025-82-8,Trichloroindium amhydrous,trichloroindiumamhydrous,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10025-82-8,Trichloroindium amhydrous,trichloroindiumamhydrous,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10025-82-8,インジウム化合物,インジウム化合物,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
10025-82-8,インジウム化合物,インジウム化合物,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10025-82-8,"三塩化インジウム,インジウム トリクロリド,塩化インジウム","三塩化インジウム,インジウムトリクロリド,塩化インジウム",ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10025-82-8,塩化インジウム(III)無水和物,塩化インジウム無水和物,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10025-87-3,塩化ホスホリル,塩化ホスホリル,law_entry_raw_name,340CO0000000002:Article 1
10025-87-3,塩化ホスホリル,塩化ホスホリル,law_entry_raw_name,407CO0000000192:別表:三:precursor
10025-87-3,塩化ホスホリル,塩化ホスホリル,law_mapping_exact_name,340CO0000000002:Article 1
10025-87-3,塩化ホスホリル,塩化ホスホリル,law_mapping_exact_name,407CO0000000192:別表:三:precursor
10026-22-9,Cobalt(II) Nitrate Hexahydrate,cobaltnitratehexahydrate,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10026-22-9,Cobalt(II) Nitrate Hexahydrate,cobaltnitratehexahydrate,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10026-22-9,コバルト及びその無機化合物,コバルト及びその無機化合物,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
10026-22-9,コバルト及びその無機化合物,コバルト及びその無機化合物,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10026-22-9,硝酸コバルト(II)六水和物,硝酸コバルト六水和物,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10048-95-0,Disodium Hydrogenarsenate,disodiumhydrogenarsenate,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10048-95-0,Disodium Hydrogenarsenate,disodiumhydrogenarsenate,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10048-95-0,ヒ酸水素二ナトリウム七水和物,ヒ酸水素二ナトリウム七水和物,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10048-95-0,砒素及びその化合物（アルシン及び砒化ガリウムを除く。）,砒素及びその化合物,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
10048-95-0,砒素及びその化合物（アルシン及び砒化ガリウムを除く。）,砒素及びその化合物,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
100784-20-1,：ハロスルフロンメチル,:ハロスルフロンメチル,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
100784-20-1,"Methyl 3-chloro-5-(4,6-dimethoxy-2-pyrimidinylcarbamoylsulfamoyl)-1-methylpyrazole-4-carboxylate; Halosulfuron-methyl",methyl3chloro51methylpyrazole4carboxylate;halosulfuronmethyl,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
100784-20-1,ハロスルフロンメチル,ハロスルフロンメチル,law_entry_raw_name,412CO0000000138:別表第二
100784-20-1,ハロスルフロンメチル,ハロスルフロンメチル,law_mapping_alias,412CO0000000138:別表第二
100784-20-1,メチル＝３－クロロ－５－（４，６－ジメトキシ－２－ピリミジニルカルバモイルスルファモイル）－１－メチルピラゾール－４－カルボキシラート,メチル=3クロロ51メチルピラゾル4カルボキシラト,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
100784-20-1,メチル＝三―クロロ―五―（四・六―ジメトキシ―二―ピリミジニルカルバモイルスルファモイル）―一―メチルピラゾール―四―カルボキシラート,メチル=三クロロ五一メチルピラゾル四カルボキシラト,law_entry_raw_name,412CO0000000138:別表第二
10099-74-8,硝酸鉛,硝酸鉛,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10099-74-8,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,鉛及びその化合物,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
10099-74-8,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,鉛及びその化合物,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10099-76-0,Lead(II) silicate,leadsilicate,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10099-76-0,Lead(II) silicate,leadsilicate,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10099-76-0,ケイ酸鉛,ケイ酸鉛,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10099-76-0,珪酸鉛,珪酸鉛,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10099-76-0,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,鉛及びその化合物,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
10099-76-0,鉛及びその化合物（酸化鉛、水酸化鉛その他の厚生労働大臣が指定する物に限る）,鉛及びその化合物,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
101-14-4,"3,3'-Dichloro-4,4'-diaminodiphenylmethane","3,3'dichloro4,4'diaminodiphenylmethane",regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
101-14-4,"3,3'-Dichloro-4,4'-diaminodiphenylmethane","3,3'dichloro4,4'diaminodiphenylmethane",ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
101-14-4,"3,3'-ジクロロ-4,4'-ジアミノジフェニルメタン","3,3'ジクロロ4,4'ジアミノジフェニルメタン",regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
