cas_number,category,label_ja,label_en,law_reference,law_id
25154-52-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
25311-71-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
2595-54-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
2674-91-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
27949-52-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
2855-13-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
29973-13-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
309-00-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
31218-83-4,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
3309-87-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
333-41-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
33972-75-7,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
351-05-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
36614-38-7,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
39185-89-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
3926-62-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
39300-45-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
41814-78-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
420-04-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
4607-81-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
494-52-0,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
50-00-0,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
5230-87-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
5349-28-0,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
542-56-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
543-21-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
55134-13-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
55285-14-8,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
56-23-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
563-68-8,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
57-74-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
58-89-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
5827-05-4,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
5903-13-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
59669-26-0,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
598-31-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
60-51-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
62-73-7,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
624-91-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
64-18-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
640-15-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
6423-72-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
6465-92-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
65907-30-4,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
66-81-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
66952-49-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
68-11-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7173-51-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
732-11-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
74-89-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7446-18-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
75-15-0,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
75-21-8,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
75-75-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
75-79-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
75-94-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7546-30-7,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
756-79-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
76-44-8,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7647-01-0,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7664-41-7,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7664-93-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
767-10-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7697-37-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7705-07-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7719-09-7,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7722-84-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7727-18-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
77458-01-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7758-19-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7782-50-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
78-48-8,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
78-93-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7803-49-8,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7803-55-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
7803-57-8,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
79-06-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
79-10-7,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
79-14-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
79-19-6,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
79-41-4,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
79538-32-2,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
80060-09-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
821-10-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
82560-54-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
83-79-4,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
87-86-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
89784-60-1,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
91-22-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
95465-99-9,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
97-65-4,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
98-13-5,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
98886-44-3,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
nocas-0017,deleterious,劇物,Deleterious Substance,毒物及び劇物指定令 第二条（劇物）,340CO0000000002
10025-87-3,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
102-82-9,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
103-63-9,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
10311-84-9,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
105-36-2,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
107-18-6,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
107-20-0,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
107-49-3,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
111-91-1,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
124-63-0,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
1307-96-6,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
13171-21-6,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
13194-48-4,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
13356-08-6,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
152-16-9,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
16752-77-5,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
1761-71-3,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
1885-14-9,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
19287-45-7,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
2104-64-5,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
22781-23-3,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
2439-10-3,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
25311-71-1,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
