law_code,source_id,group_legal_name,category_code,special_management,special_organic,match_kind,match_pattern,status,reviewed_by,source_url,note
ish,RJ_04_031,砒素及びその化合物（アルシン及び砒化ガリウムを除く。）,tokka_class_2,1,0,name_regex,(?i)^(?!アルシン$)(?!.*(?:砒化ガリウム|ヒ化ガリウム|galliumarsenide))(?=.*(?:ヒ素|砒素|ヒ酸|ヒ化|アルシン|アルシノ|アルソン|アルソノ|アルソナート|アルサン|ナルサジニン|キサルシン|アルシナート|アルソニウム|アルサ|アルセ|砒|arsen|arson|arsin|ピグメントグリーン21)),reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号27の2。アルシン及び砒化ガリウムは法文で除外（ガリウムヒ素リン等の混晶はNITE特化則リストに収載されているため対象のまま）。C.I.ピグメントグリーン21（亜ヒ酸酢酸銅）を含む
ish,RJ_04_031,マンガン及びその化合物,tokka_class_2,0,0,name_regex,(?i)^ピグメントレッド115$|^アビエチン酸マグネシウム$|マンガン|マンガナート|manganese|ピグメントブラック26,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号33。C.I.ピグメントブラック26（マンガンフェライト）を含む；6358-40-3 ピグメントレッド115、54675-76-2（NITE名称はマグネシウム表記だがEC/RISCADはアビエチン酸マンガン）。NITE-CHRIP物質ページで区分確認（2026-08-29）
ish,RJ_04_031,五酸化バナジウム,tokka_class_2,0,0,name_regex,(?i)^五酸化(二)?バナジウム|^酸化バナジウム\(V\)|^バナジウムペントキシド|^(di)?vanadiumpentoxide|^vanadium\(V\)oxide,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号13
ish,RJ_04_031,三酸化二アンチモン,tokka_class_2,1,0,name_regex,(?i)^三酸化(二)?アンチモン|^酸化アンチモン\(III\)|^三酸化アンチモン|^(di)?antimonytrioxide|^antimony\(III\)oxide,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号15の2
ish,RJ_04_031,塩化ビニル,tokka_class_2,1,0,name_regex,^クロロエチレン$|^塩化ビニル$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号6
ish,RJ_04_031,エチレンオキシド,tokka_class_2,1,0,name_regex,^オキシラン$|^エチレンオキシド$|^酸化エチレン$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号5
ish,RJ_04_031,酸化プロピレン,tokka_class_2,1,0,name_regex,^2-メチルオキシラン$|^酸化プロピレン$|^プロピレンオキシド$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号15
ish,RJ_04_031,エチレンイミン,tokka_class_2,1,0,name_regex,^アジリジン$|^エチレンイミン$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号4
ish,RJ_04_031,四塩化炭素,tokka_class_2,1,1,name_regex,^テトラクロロメタン$|^四塩化炭素$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号18の2。特別有機溶剤
ish,RJ_04_031,トリクロロエチレン,tokka_class_2,1,1,name_regex,"^1,1,2-トリクロロエテン$|^トリクロロエチレン$|^トリクロロエテン$",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号22の5。特別有機溶剤
